No.,도메인,세부 도메인,의도 (Intention),문장
2556,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지할 필요 없어졌어.
2557,차량 제어,공조 제어,히터 제어,히터 온도 이십육 도로 유지해 줘.
2558,차량 제어,운전 제어,일자 따라 가기,앞에 차량만 쫓아 가 줘.
2559,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드에서 주행해 줘.
2560,차선 제어,갓길 이동 정차,갓길 이동 명령,이동 경로 갓길로 설정.
2561,차선 제어,차선 변경,차선 변경,차선 이 차선으로.
2562,차량 제어,창문 제어,전체 창문 닫기,밖에서 냄새 들어오지 않게 전체 창문 모두 닫아 줘.
2563,주행 정보,주행 기록,자율 주행 주행 기록,최근 자율 주행 주행 기록 시간대 별로 알려 줘.
2564,차량 제어,좌석 제어,좌석 통풍 끄기,이제 그만 좌석 통풍 종료해 줘.
2565,차선 제어,차선 변경,왼쪽으로 차선 변경,괜찮으면 왼쪽 차선 변경해 줘.
2566,차량 제어,좌석 제어,좌석 온도 올리기,시트 온도 따뜻하게 해.
2567,차량 제어,도어 제어,뒷자리 차문 열기,뒷문 열어서 고정시켜.
2568,차량 제어,운전 제어,일자 추월,속도 좀 높여서 앞 차 따라잡자.
2569,차량 제어,속도 제어,주행 속도 세팅,시속 팔십 킬로미터의 속도로 운전해.
2570,차량 제어,좌석 제어,좌석 온도 제어,차에 타면 바로 열선 시트 켜 줘.
2571,차량 제어,운전 제어,일자 추월,방향지시등 꼭 켜고 앞 차 추월해.
2572,차량 제어,도어 제어,전체 차문 열기,전체 차문 열렸는지 확인 해.
2573,차선 제어,차선 유지,차선 유지 모드 켜기,현재 차선 벗어나지 않게 해 줘.
2574,비상 제어,보험사 연락,자동 보험사 연락,사고 시 자동으로 보험회사랑 통화해야 해.
2575,차량 제어,운전 제어,일자 추월,앞 차 때문에 너무 답답해 추월해 줘.
2576,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지를 위한 기능이 있다면 켜 줘.
2577,주행 정보,주행 기록,자율 주행 주행 기록,집부터 강남까지 주행한 기록.
2578,주행 정보,주행 기록,자율 주행 주행 기록,내 자동차 자율 주행 기록 목록 보여 줘.
2579,차량 제어,공조 제어,에어컨 끄기,에어컨 사용 마칠게.
2580,차량 제어,좌석 제어,좌석 온도 제어,시트에서 열 나게 해.
2581,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 열어서 바람 좀 쐬자.
2582,차량 제어,운전 제어,일자 따라 가기,우리 차 앞에 있는 차랑 같은 곳 가야 해.
2583,차량 제어,운전 제어,일자 추월,앞에 있는 차 운전 이상해 먼저 가자.
2584,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 먼저 가게 길 만들어.
2585,차량 제어,도어 제어,뒷자리 차문 열기,여기서 뒷자리 차 문 열어 놓고 얘기해 줘.
2586,차량 제어,속도 제어,주행 속도 세팅,제한 속도 이하로 설정해 주세요.
2587,차량 제어,도어 제어,뒷자리 차문 닫기,뒤에 차 자리 문 닫아 줘.
2588,차량 제어,공조 제어,에어컨 제어,에어컨 희망 온도 이십육 도로 설정해 줘.
2589,차량 제어,운전 제어,일자 따라 가기,앞 차 따라서 구미 나들목으로 진입해.
2590,비상 제어,보험사 연락,자동 보험사 연락,사고 시 자동을 보험회사랑 연결되는 기능이 있어야 할 거 같아.
2591,차량 제어,창문 제어,조수석 창문 열기,날씨 좋으니까 조수석 쪽 창문 활짝 열어 줘.
2592,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드를 켜야 겠어.
2593,차량 제어,공조 제어,에어컨 제어,에어컨 송풍 모드로 바꿔.
2594,차량 제어,좌석 제어,좌석 온도 제어,열선 시트 이 단으로 설정 가능하니?
2595,차량 제어,운전 제어,일자 따라 가기,앞 차가 멈추면 같이 멈춰.
2596,차선 제어,갓길 이동 정차,갓길 이동 명령,멀미 심하니까 갓길에서 환기 좀 시키고 가자.
2597,차량 제어,도어 제어,전체 차문 닫기,전체 차문 다 완전히 닫은 후 잠궈 줘.
2598,차량 제어,창문 제어,전체 창문 열기,전체 창문 조금씩 열어.
2599,차량 제어,자율 주행 시작,자율 주행 모드 종료,우회전 후 자율 주행 종료해 줘.
2600,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드 이젠 끔 으로 바꿔 줘.
2601,차량 제어,좌석 제어,좌석 온도 제어,발열 시트 틀어 줘.
2602,차량 제어,공조 제어,히터 끄기,지금부터 히터 사용 그만해.
2603,차량 제어,긴급 차량,에스오에스차량 양보,저기 앰뷸런스 오는 거 맞아?
2604,차량 제어,창문 제어,전체 창문 열기,전체 창문 전부 개방해.
2605,차량 제어,좌석 제어,좌석 온도 제어,뒷좌석 의자 열선 켜.
2606,차량 제어,창문 제어,전체 창문 닫기,터널에 들어갈 때면 모든 창문을 닫아 줘.
2607,차선 제어,갓길 이동 정차,갓길 이동 명령,쉬었다 가게 갓길에 차 세워 줘.
2608,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 관련 기록이 있을까?
2609,차량 제어,긴급 차량,에스오에스차량 양보,구급차 차량 지나갈 때까지 잠시 대기.
2610,차량 제어,좌석 제어,좌석 온도 제어,엉덩이 시려우니 운전석 시트 켜 줘.
2611,차량 제어,자율 주행 시작,자율 주행 모드 시작,팔십 키로로 속도 맞춰서 자율 주행 모드 설정.
2612,차량 제어,도어 제어,뒷자리 차문 닫기,주행 중엔 뒷자리 문 잠가 줘.
2613,비상 제어,보험사 연락,자동 보험사 연락,보험회사 담당자랑 지금 연결 좀 시켜 봐.
2614,비상 제어,보험사 연락,자동 보험사 연락,보험회사에 자동으로 알림 켜 줘.
2615,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 꺾어 줘.
2616,차량 제어,운전 제어,일자 추월,속도 좀 더 올려서 앞 차 앞까지 추월 좀 부탁해.
2617,차량 제어,긴급 차량,에스오에스차량 양보,구급 차량이 먼저 지나갈 수 있게 길 양보해.
2618,비상 제어,보험사 연락,자동 보험사 연락,비상시 자동으로 보험사에 연락하도록 해.
2619,차량 제어,좌석 제어,좌석 통풍 켜기,냉수마찰을 하듯이 좌석에 통풍 기능 켜 줘.
2620,차량 제어,공조 제어,에어컨 제어,에어컨 온도 파워 냉방 해 줘.
2621,차량 제어,운전 제어,일자 추월,앞서 나가서 앞 차랑 간격을 벌려.
2622,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 얼마 정도의 속도로 달리고 있는지 알려 줄래?
2623,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스에 차선 양보해 줘야겠어.
2624,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 기능 지금 실행 취소시켜.
2625,차선 제어,차선 변경,오른쪽으로 차선 변경,차선 변경이 필요하면 오른쪽으로.
2626,차선 제어,차선 변경,차선 변경,이번 로터리를 돌고 난 다음 삼 차선으로 차선 변경해 줘.
2627,차선 제어,차선 변경,왼쪽으로 차선 변경,좌측 신호 켜면 차선 변경해 줘.
2628,차선 제어,차선 변경,차선 변경,휴게소에 들러야 하니 가장 바깥 차선으로 차선을 변경해.
2629,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 전환한 거 꺼 줘.
2630,차선 제어,차선 변경,왼쪽으로 차선 변경,삼백 미터 이후에 차선 두 개 왼쪽으로 이동해 줘.
2631,차량 제어,도어 제어,조수석 차문 열기,목적지에 도착하면 조수석 문을 열어둬.
2632,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 부탁하자.
2633,비상 제어,보험사 연락,자동 보험사 연락,보험사에게 연락이 자동으로 가게 해 줘.
2634,차량 제어,창문 제어,조수석 창문 닫기,무슨 냄새지 조수석 창문 닫아야겠다.
2635,차량 제어,속도 제어,주행 속도 세팅,운전 안전 속도로 도로 주행해 줘.
2636,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선 한가하니 그쪽으로 가.
2637,차량 제어,운전 제어,일자 따라 가기,내 차량을 앞 차와 이어서 운행해 줘.
2638,차량 제어,운전 제어,일자 따라 가기,앞 차 따라서 휴게소로 들어가 줘.
2639,비상 제어,차량 비상 정지,비상 정지 모드 끄기,이제 비상 정지 꺼 줘.
2640,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행으로 속도를 얼마나 냈는지 보고 싶어.
2641,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 이용할 수 있니?
2642,차량 제어,도어 제어,조수석 차문 닫기,조수석에 있는 문 닫히게 해.
2643,차량 제어,속도 제어,주행 속도 세팅,주행 속도 팔십으로 조절해 줘.
2644,차량 제어,운전 제어,일자 추월,앞에 달리는 차 추월해 부탁해.
2645,차량 제어,긴급 차량,에스오에스차량 양보,구급차한테 양보한 후 주행해 줘.
2646,차량 제어,창문 제어,전체 창문 닫기,모든 창문을 닫았으면 좋겠어.
2647,차량 제어,공조 제어,히터 켜기,너무 추워 히터 얼른 켜 줘.
2648,차량 제어,운전 제어,일자 따라 가기,앞 차랑 동일하게 움직일 거야.
2649,차량 제어,도어 제어,뒷자리 차문 열기,목적지 도착하면 뒷자리 차 문 열어라.
2650,차량 제어,좌석 제어,좌석 통풍 켜기,시트에 냉풍 틀어.
2651,차량 제어,자율 주행 시작,자율 주행 모드 종료,내가 운전하게 자율 주행 모드 오프해 줘.
2652,차량 제어,긴급 차량,에스오에스차량 양보,긴급 호송 차량 먼저 가라고 해.
2653,차량 제어,도어 제어,뒷자리 차문 열기,뒤 문 모두 열게 해 줘.
2654,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 잠금 장키 끄고 반만 열어 줘.
2655,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 이동 후 쉴래.
2656,차량 제어,공조 제어,에어컨 제어,이 단으로 에어컨 켜.
2657,차량 제어,좌석 제어,좌석 온도 올리기,운전자 시트 더 뜨겁게 해 봐.
2658,비상 제어,보험사 연락,자동 보험사 연락,비상시 자동으로 보험사 한태 연락 해.
2659,차량 제어,창문 제어,전체 창문 닫기,모든 창문 다 닫아 주라.
2660,차량 제어,도어 제어,뒷자리 차문 닫기,손이 없는데 뒷자리 차 문 좀 닫아 줘.
2661,주행 정보,주행 기록,자율 주행 주행 기록,가장 짧게 한 자율 주행 기록 띄워 줘.
2662,차량 제어,좌석 제어,좌석 통풍 켜기,등에 바람 잘 통하게 만들어 봐.
2663,비상 제어,보험사 연락,자동 보험사 연락,보험사랑 통화하고 싶으면 어떻게 해야 해?
2664,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,도로에서 자율 주행 모드 가능한지 상황 봐 줄래?
2665,차선 제어,갓길 이동 정차,갓길 이동 명령,차에 이상 생긴 것 같으면 일단 갓길에 대.
2666,차량 제어,속도 제어,주행 속도 세팅,제한 속도에 맞게 주행해 줘.
2667,차선 제어,갓길 이동 정차,갓길 이동 명령,가까운 갓길에 차를 세우고 싶어.
2668,차량 제어,좌석 제어,좌석 통풍 켜기,조수석 시트에 바람 통하게 해.
2669,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 실행 꺼 줘.
2670,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지 모드 비활성화 시켜.
2671,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드로 대체해 줘.
2672,비상 제어,차량 비상 정지,비상 정지 모드 켜기,동물이 갑자기 튀어나오면 비상 정지 모드 실행 해.
2673,차량 제어,긴급 차량,에스오에스차량 양보,구급차 사이렌 소리 들리는데 미리 비켜 주자.
2674,차량 제어,도어 제어,조수석 차문 열기,짐이 많으니 조수석 차문 자동으로 열어 줘.
2675,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 시원한 쿨링 켜 줘.
2676,차량 제어,좌석 제어,좌석 온도 올리기,등 부분 시트 더 따뜻하게 해 줘.
2677,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 오프 해 줘.
2678,차량 제어,공조 제어,히터 제어,히터에서 더 뜨거운 바람 불어 줘.
2679,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 가능한지 확인하고 수리가 필요한 부품을 알려 줘.
2680,차량 제어,운전 제어,일자 따라 가기,앞 차 속도 맞춰 운전해 줘.
2681,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행에 사용한 기능이 뭔지 알고 싶어.
2682,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 여부를 가려 주겠니?
2683,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 대기해 주겠니?
2684,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지하고 운전할래.
2685,차량 제어,운전 제어,일자 따라 가기,앞에 차량이랑 똑같이 운행해 줘.
2686,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 현 시속이 얼마나 되지?
2687,차량 제어,도어 제어,뒷자리 차문 닫기,뒷좌석 차 문 잠가줄래?
2688,주행 정보,주행 기록,자율 주행 주행 기록,어제 자율 주행으로 운전한 거리 측정해 줘.
2689,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 가능한지 알려 줘.
2690,주행 정보,주행 기록,자율 주행 주행 기록,이 월 이 일 자율 주행 모드 주행 기록 말해 줘.
2691,차량 제어,도어 제어,뒷자리 차문 열기,주차 시 뒷자리 자동으로 열어 줘.
2692,차량 제어,속도 제어,주행 속도 세팅,속도 세팅을 팔십으로 해줬으면 해.
2693,차량 제어,도어 제어,조수석 차문 열기,내 옷이 문에 끼었어 조수석 문 다시 한번 열어 줘.
2694,차량 제어,도어 제어,전체 차문 닫기,차 문들 전부 락 처리해.
2695,차량 제어,창문 제어,조수석 창문 열기,조수석 환기해야 하니까 창문 끝까지 내릴래.
2696,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한지 체크 부탁해.
2697,비상 제어,보험사 연락,자동 보험사 연락,보험사한테 빨리 자동으로 연결해 줘.
2698,차선 제어,갓길 이동 정차,갓길 이동 명령,졸음 운전 방지를 위해서 갓길에서 휴식하자.
